is_goal,distance_to_goal,angle_to_goal,shot_body_part,play_pattern,under_pressure,shot_statsbomb_xg
0,17.857211428439772,24.432551727684654,Right Foot,From Goal Kick,0,0.10385344
1,25.09760944791356,14.258048610138198,Left Foot,Regular Play,0,0.027777622
1,1.3152946437965882,143.91537141022488,Other,From Free Kick,0,0.87261814
0,19.84792180556947,22.42906943984362,Right Foot,From Counter,0,0.13121767
0,22.43412579085711,14.011618093365078,Left Foot,From Throw In,0,0.016301522
0,34.283815423607685,13.090802740862163,Right Foot,From Throw In,0,0.01649772
0,16.0312195418814,27.973679912416454,Head,From Free Kick,0,0.0504811
0,26.165817395984405,15.513282710220668,Left Foot,Regular Play,0,0.02842248
0,25.64000780031082,15.410481908788809,Right Foot,From Throw In,0,0.0241939
0,33.38637446623997,10.397981534622968,Left Foot,From Throw In,0,0.007735879
0,15.0,19.008707120638544,Right Foot,From Throw In,0,0.12373556
0,30.897249068485042,12.401549489960772,Right Foot,From Throw In,0,0.008523117
0,11.400438588054403,37.92402484465676,Right Foot,From Throw In,0,0.10607713
0,10.890362712049582,40.100907546212255,Head,From Corner,1,0.04222343
0,28.800694436072195,14.236924910102829,Right Foot,From Corner,0,0.019677445
0,12.522779244241276,34.06027953083906,Head,Regular Play,1,0.048006557
0,9.513148795220223,45.571035373114775,Right Foot,From Free Kick,0,0.18268152
0,30.838450025901107,13.007907952913959,Right Foot,From Free Kick,0,0.016826272
0,20.695893312442443,14.781859954365276,Left Foot,Regular Play,0,0.023374733
0,15.981239000778388,20.85445803957836,Left Foot,From Throw In,0,0.056137927
0,10.384603988597735,41.05847554506833,Head,From Throw In,1,0.05394238
0,7.839005038906401,50.12198779098566,Left Foot,From Throw In,1,0.08680134
0,21.12865353021816,20.297986829751274,Right Foot,Regular Play,0,0.0710417
0,17.864489917151285,19.609510488974866,Right Foot,From Counter,0,0.0422633
0,25.016994223927057,15.261875702643,Right Foot,Regular Play,0,0.032319076
0,26.144406667583798,14.255561598402597,Right Foot,Regular Play,0,0.025169194
0,24.700202428320303,18.397328487216683,Left Foot,From Corner,0,0.033566043
0,24.260667756679744,11.606356912032467,Right Foot,From Throw In,0,0.009332121
0,10.404806581575647,41.21141573849215,Head,From Corner,1,0.05556727
0,8.836288813749807,48.5935661878652,Head,From Free Kick,1,0.06991791
0,19.58290070444111,23.001288013573745,Left Foot,From Free Kick,0,0.045798708
0,10.83374358197572,38.00037766267309,Head,From Free Kick,1,0.080380306
0,22.43680012836055,19.01799794568375,Right Foot,From Corner,0,0.040954046
0,11.086027241532467,37.62553320126747,Head,From Corner,0,0.12157792
0,20.418863827353377,20.46217790993437,Left Foot,Regular Play,0,0.05512647
0,18.069310999592652,16.232565988396946,Right Foot,From Throw In,0,0.04585104
0,20.838665984174707,18.998159971032276,Right Foot,From Corner,0,0.043695714
1,5.069516742254635,76.10140378561155,Right Foot,Regular Play,0,0.5303789
0,17.867568385205637,8.699303851819641,Right Foot,Regular Play,0,0.011004616
0,17.861690849412884,14.788225130220384,Left Foot,Regular Play,0,0.05674209
0,6.041522986797291,66.52363166507008,Head,From Throw In,1,0.39133456
0,23.235533133543548,19.35223211535262,Right Foot,From Free Kick,0,0.080397844
0,34.407557309405156,11.311064615225673,Right Foot,From Throw In,0,0.006830182
0,10.017983829094554,40.48026160930495,Head,From Free Kick,1,0.21722858
0,8.914033879226627,48.28963264068046,Left Foot,From Free Kick,0,0.30539662
0,21.936727194365165,14.371319607648829,Left Foot,Regular Play,0,0.057746947
0,24.446063077722755,17.62706604751638,Right Foot,Regular Play,1,0.026111592
0,18.398369492974094,24.179710638133933,Left Foot,Regular Play,0,0.052363984
0,37.64797471312367,11.958121842954466,Left Foot,From Throw In,0,0.00976612
0,24.24417455802527,18.055943073869507,Left Foot,From Throw In,0,0.04188839
0,25.63220630378899,17.65355527724188,Left Foot,From Free Kick,0,0.06625415
0,8.780091115700339,16.071666022757807,Left Foot,From Throw In,1,0.03416934
0,6.824954212300618,54.19986172274445,Right Foot,From Free Kick,0,0.44776994
0,16.00781059358212,26.234998993306316,Right Foot,From Throw In,0,0.06879163
0,21.211553455605276,21.347866861570235,Left Foot,From Throw In,0,0.073204115
0,26.037665025881257,17.443677293911854,Left Foot,Regular Play,0,0.042848527
0,11.778370006074697,17.033155861429535,Head,From Counter,1,0.07962643
0,7.397972695272669,56.4482620774228,Left Foot,From Corner,0,0.2503287
0,32.626676202150904,13.514332786558045,Right Foot,From Free Kick,0,0.019376563
0,26.63174797117155,13.309599491295854,Right Foot,From Goal Kick,1,0.023614733
0,24.439312592624205,17.421349031288116,Right Foot,Regular Play,0,0.035244513
0,9.529428104561159,41.93258056945671,Right Foot,From Throw In,0,0.12850787
0,25.22399651125888,17.536620160618412,Right Foot,From Counter,0,0.017788952
0,11.672617529928756,34.679045637502284,Head,From Free Kick,1,0.07202582
0,31.296325662927266,14.479502384308418,Left Foot,From Throw In,0,0.02170084
0,20.576928828180364,15.89300262455539,Left Foot,From Goal Kick,0,0.030164797
0,14.350261321662401,31.061697940118062,Left Foot,From Free Kick,0,0.08566745
0,34.58612438536587,12.830702135163994,Right Foot,From Free Kick,0,0.011584845
0,13.93161871427725,24.190144048086786,Right Foot,From Counter,1,0.28799564
0,24.162781296862327,17.807913913108443,Left Foot,Regular Play,0,0.04282673
0,9.769339793455849,42.18741324008184,Head,From Counter,0,0.21401532
0,5.600892785976173,71.06391238328978,Head,Regular Play,0,0.22100283
0,16.875129629131745,24.625987074449583,Left Foot,From Throw In,0,0.068153165
0,16.696406799069077,21.44186693623573,Right Foot,From Counter,1,0.075855605
0,30.026821343592133,14.92159146638715,Right Foot,Regular Play,1,0.015279148
0,19.258504614844842,23.403451580348015,Left Foot,From Corner,0,0.05160931
0,22.510886255321,18.47907043732368,Right Foot,Regular Play,0,0.047915842
0,36.768056788467895,11.574529219537807,Right Foot,From Corner,0,0.0072957636
0,21.194574777522664,16.460761238159517,Right Foot,Regular Play,0,0.025361432
0,24.107467722678802,16.852489842676537,Right Foot,Regular Play,0,0.031851415
0,20.482431496284807,19.940685737683037,Left Foot,Regular Play,0,0.053537875
0,20.849220608934043,21.390175082038176,Right Foot,From Free Kick,0,0.06399969
0,20.923909768492127,21.622730804748944,Right Foot,From Free Kick,0,0.051057886
0,30.512456472726015,14.74402516790778,Right Foot,From Free Kick,0,0.020104993
0,13.605881081355955,14.836908761560695,Right Foot,From Free Kick,1,0.059788406
0,24.845522735495024,16.103841346037157,Right Foot,Regular Play,0,0.031046849
0,21.79197099851227,19.931360335851977,Right Foot,Regular Play,0,0.031239294
0,32.34145945995635,12.524448971783947,Right Foot,From Throw In,0,0.011336825
1,25.025187311986304,18.07762748738299,Right Foot,From Throw In,0,0.03268815
1,16.09751533622503,26.57164924990427,Right Foot,From Counter,0,0.19933115
0,12.70039369468522,22.97453793766107,Left Foot,Regular Play,0,0.08786314
0,9.154780172128651,47.03247283759231,Head,From Throw In,0,0.1007914
0,27.77228834647949,14.774550275046579,Left Foot,From Throw In,0,0.016592033
0,24.157193545608724,15.818119295363864,Right Foot,From Free Kick,0,0.041162748
0,29.940774873072336,11.354352162934003,Right Foot,Regular Play,0,0.010898009
0,18.35211159512714,7.388645375786885,Right Foot,From Throw In,0,0.013856714
1,16.844286865284626,26.51966398192343,Left Foot,Regular Play,1,0.15620883
0,8.828363381737299,48.33275486433859,Head,From Corner,1,0.061025612
0,9.885848471426216,31.252571272023342,Right Foot,From Corner,0,0.080746524
0,27.623540685437117,14.471036355701544,Right Foot,From Corner,0,0.020325886
0,15.700318468107579,21.414659179726613,Left Foot,Regular Play,0,0.06369618
0,15.631058825300352,6.397196424655908,Right Foot,Regular Play,0,0.01194291
0,23.777510382712478,18.966123007232245,Right Foot,From Throw In,0,0.041042205
0,26.294486114012578,16.120029833278238,Right Foot,From Free Kick,0,0.06416701
0,40.92383168766092,8.881291364463888,Right Foot,From Free Kick,0,0.005017159
0,16.00781059358212,28.04772510734193,Right Foot,From Throw In,0,0.28441095
0,26.90576146478668,14.326858510381856,Left Foot,From Free Kick,0,0.02354375
0,14.600000000000001,0.0,Head,From Free Kick,1,0.01084097
0,29.924738929521173,11.216065657608059,Right Foot,From Free Kick,0,0.010357286
0,16.279127740760558,24.978210343305932,Left Foot,Regular Play,0,0.05725451
0,26.829275055431527,16.4043041408801,Right Foot,From Goal Kick,0,0.022615774
0,12.631706139710497,32.87941999705545,Right Foot,Regular Play,0,0.081256144
0,18.99315666233499,23.23428531563443,Left Foot,From Free Kick,0,0.028181294
0,22.52110121641479,17.02400800253931,Right Foot,Regular Play,0,0.030065771
0,17.0,11.914041039191483,Head,From Corner,1,0.006450981
0,22.36470433517957,17.686945063282966,Left Foot,From Throw In,0,0.04109325
1,26.185874054535592,15.93409562701986,Right Foot,From Free Kick,0,0.05780817
1,8.06597793203031,41.88769139079452,Left Foot,Regular Play,0,0.44030064
0,34.74622281630048,11.353396507471903,Right Foot,From Counter,0,0.00753591
1,14.425671561490642,22.812316458721284,Left Foot,From Throw In,0,0.096602984
0,15.743252522906442,18.505350379080774,Right Foot,Regular Play,0,0.13184288
0,23.228000344411914,13.324913042500276,Right Foot,From Keeper,0,0.02192258
0,17.27223205031707,23.98282151359791,Right Foot,From Counter,0,0.25030845
0,12.952991932368365,21.045099401307414,Left Foot,From Counter,0,0.24362406
0,3.9319206502675055,90.99155872105769,Left Foot,From Counter,0,0.6100251
0,30.15824928605771,13.783697062333372,Left Foot,From Free Kick,0,0.031328887
0,25.77013775671368,14.995226428185509,Right Foot,From Throw In,0,0.025066664
0,18.69679116854013,23.233615546407368,Right Foot,Regular Play,0,0.058446433
0,6.824221567329121,55.69169884975151,Left Foot,From Corner,1,0.45507616
0,12.379418403139947,27.681061568485255,Left Foot,From Free Kick,0,0.09753507
0,20.289159667172022,12.097229493490843,Left Foot,Regular Play,0,0.016072592
0,13.787675656179323,27.440226432447723,Right Foot,Regular Play,0,0.15900026
0,34.01249770305028,12.609078788298667,Left Foot,Regular Play,0,0.012105021
0,29.008274681545608,11.610209211605548,Right Foot,Regular Play,0,0.009452554
0,16.69730517179344,15.968429378883291,Right Foot,Regular Play,1,0.08237888
0,6.824954212300623,60.294274037520374,Head,From Corner,1,0.19001445
0,20.0322240402807,17.082245177724683,Right Foot,From Goal Kick,0,0.041722767
0,5.457105459856898,71.99583839408666,Head,From Corner,0,0.15555824
1,8.115417426109387,52.42371726255926,Right Foot,From Throw In,1,0.55189455
0,6.262587324740473,53.34224249988916,Head,From Free Kick,0,0.24569963
0,7.9404030124421245,7.746145320243693,Right Foot,Regular Play,0,0.0123953605
0,13.21892582625381,32.209325695023594,Head,From Free Kick,1,0.046351306
0,12.628935030318273,34.873129412598985,Right Foot,From Keeper,0,0.1977995
0,23.95266164750798,18.849074628670035,Left Foot,Regular Play,0,0.048882935
0,13.328165665236908,30.706601503453427,Left Foot,From Throw In,0,0.27028984
0,24.084227203711567,18.360255668221907,Right Foot,From Corner,0,0.02513017
0,22.162355470481927,20.239442305567255,Right Foot,Regular Play,0,0.07171052
0,12.325988804148734,35.90085460494564,Right Foot,Regular Play,0,0.4577736
0,5.232590180780456,68.97027196472901,Head,From Corner,1,0.2074416
0,16.401219466856723,26.546931070309224,Left Foot,From Free Kick,0,0.07848694
0,21.453671014537342,19.89773369162547,Right Foot,From Throw In,0,0.045895047
0,17.944637081869335,14.65090038455401,Left Foot,Regular Play,0,0.030432492
0,31.481423093627775,14.358207147841581,Left Foot,From Corner,0,0.015372672
0,28.55538478115817,15.173639548750943,Left Foot,From Free Kick,0,0.030134441
0,29.807717121577767,14.841460060922707,Right Foot,From Throw In,0,0.020453067
0,30.29867983922731,13.75476789243039,Right Foot,Regular Play,1,0.021057075
0,29.713464961192262,15.081215635440836,Left Foot,Regular Play,0,0.02159481
